fid,lat,lon,avg_dust,max_dust,min_dust
47,37.508,126.896,57.5,58,57
51,37.508,126.861,50.5,53,48
58,37.508,126.82600000000001,49.5,50,49
220,37.506,127.094,57.5,58,57
247,37.506,127.117,56.0,56,56
260,37.515,127.117,56.5,57,56
114,37.508,126.92,55.5,56,55
121,37.507,126.931,54.5,55,54
173,37.506,127.059,50.5,53,48
43,37.499,126.87299999999999,54.5,56,53
219,37.506,127.08200000000001,56.5,58,55
211,37.506,127.071,53.5,55,52
259,37.505,127.14,56.666666666666664,57,56
55,37.499,126.838,50.5,51,50
44,37.499,126.884,57.5,59,56
37,37.508,126.885,56.5,58,55
