fid,lat,lon,Annual_WS,Annual_WD,fid_2,DN
"4",37.581,126.967,3.43,314.06,"55","49"
"5",37.572,126.967,3.29,318.12,"55","49"
"3",37.59,126.967,3.56,315.48,"55","49"
"496",37.553,126.955,3.27,313.19,"55","49"
"497",37.544,126.955,3.31,305.29,"55","49"
"558",37.553,126.967,3.19,312.22,"55","49"
"279",37.581,126.979,3.17,316.42,"55","49"
"8",37.59,126.979,3.35,323.18,"55","49"
"7",37.581,126.99,3.13,315.9,"55","49"
"369",37.59,126.991,3.32,321.98,"55","49"
"327",37.59,127.002,3.2,314.67,"55","49"
"332",37.544,127.013,3.17,299.17,"55","49"
"328",37.59,127.014,3.02,310.64,"55","49"
"330",37.553,127.025,3.02,298.17,"55","49"
"278",37.58,127.025,2.95,302.61,"55","49"
"231",37.59,127.025,2.93,307.06,"55","49"
"357",37.589,127.037,2.84,305.15,"55","49"
"356",37.58,127.037,2.9,299.48,"55","49"
"539",37.58,127.014,3.01,307.54,"55","49"
"546",37.553,126.99,3.36,312.04,"55","49"
"549",37.553,127.002,3.36,301.87,"55","49"
"550",37.553,127.013,3.17,297.77,"55","49"
"551",37.562,127.013,3.05,295.49,"55","49"
"552",37.562,127.025,3.03,298.78,"55","49"
"355",37.571,127.037,2.92,296.02,"55","49"
"555",37.544,126.99,3.23,312.2,"55","49"
"569",37.544,127.001,3.27,306.12,"55","49"
"571",37.562,127.037,2.95,297.09,"55","49"
"344",37.571,127.048,2.91,294.81,"55","49"
"358",37.58,127.049,2.89,297.76,"55","49"
"304",37.561,127.13,2.94,292.36,"56","61"
"306",37.533,127.129,2.96,274.2,"56","61"
"307",37.542,127.129,2.96,277.26,"56","61"
"303",37.552,127.13,2.98,288.67,"56","61"
"300",37.533,127.141,2.86,271.38,"56","61"
"268",37.542,127.141,2.88,272.45,"56","61"
"270",37.551,127.141,2.93,282.46,"56","61"
"305",37.561,127.141,2.98,285.97,"56","61"
"301",37.533,127.152,2.82,267.93,"56","61"
"271",37.551,127.153,2.87,275.41,"56","61"
"272",37.561,127.153,2.93,279.25,"56","61"
"269",37.542,127.153,2.85,268,"56","61"
"212",37.525,127.013,3.28,291.9,"57","50"
"217",37.534,127.025,3.18,290.76,"57","50"
"216",37.534,127.013,3.19,299.07,"57","50"
"554",37.535,126.99,3.26,303,"57","50"
"556",37.535,126.978,3.29,298.69,"57","50"
"559",37.544,126.967,3.24,303.51,"57","50"
"557",37.544,126.978,3.19,308.69,"57","50"
"560",37.535,126.966,3.34,296.57,"57","50"
"567",37.525,127.001,3.32,295.53,"57","50"
"568",37.534,127.001,3.22,303.19,"57","50"
"477",37.572,126.944,3.47,334.6,"57","50"
"480",37.563,126.955,3.32,319.43,"57","50"
"478",37.572,126.955,3.49,322.93,"57","50"
"482",37.581,126.955,3.69,318.86,"57","50"
"4",37.581,126.967,3.43,314.06,"57","50"
"3",37.59,126.967,3.56,315.48,"57","50"
"485",37.563,126.943,3.37,325.48,"57","50"
"486",37.553,126.943,3.33,317.39,"57","50"
"496",37.553,126.955,3.27,313.19,"57","50"
"497",37.544,126.955,3.31,305.29,"57","50"
"8",37.59,126.979,3.35,323.18,"57","50"
"280",37.599,126.979,3.64,325.62,"57","50"
"281",37.599,126.991,3.58,317.78,"57","50"
"369",37.59,126.991,3.32,321.98,"57","50"
"327",37.59,127.002,3.2,314.67,"57","50"
"282",37.599,127.002,3.3,309.29,"57","50"
"332",37.544,127.013,3.17,299.17,"57","50"
"328",37.59,127.014,3.02,310.64,"57","50"
"283",37.599,127.014,3,307.22,"57","50"
"331",37.543,127.025,3.1,294.57,"57","50"
"330",37.553,127.025,3.02,298.17,"57","50"
"231",37.59,127.025,2.93,307.06,"57","50"
"326",37.553,127.036,3.03,295.97,"57","50"
"357",37.589,127.037,2.84,305.15,"57","50"
"356",37.58,127.037,2.9,299.48,"57","50"
"550",37.553,127.013,3.17,297.77,"57","50"
"552",37.562,127.025,3.03,298.78,"57","50"
"355",37.571,127.037,2.92,296.02,"57","50"
"555",37.544,126.99,3.23,312.2,"57","50"
"571",37.562,127.037,2.95,297.09,"57","50"
"341",37.562,127.048,2.95,293.42,"57","50"
"344",37.571,127.048,2.91,294.81,"57","50"
"358",37.58,127.049,2.89,297.76,"57","50"
"360",37.589,127.049,2.83,303.64,"57","50"
"245",37.542,127.118,3.03,282.4,"58","60"
"302",37.552,127.118,2.96,294.71,"58","60"
"304",37.561,127.13,2.94,292.36,"58","60"
"263",37.524,127.129,2.96,269.45,"58","60"
