Politic_tags,number,overlap_num,overlap_word
mbc,60,22,"['mbc노조', 'mbc뉴스', 'mbcpd수첩171212', 'mbcpd수첩1136회', 'mbc7년몰락의역사', 'mbc해직언론인', 'mbc이용마', 'mbc신임사장', 'mbc해고자', '최승호mbc', 'mbc최승호사장', '일mbc아침뉴스12132017', '일mbc아침뉴스', 'mbc가이상해졌다는홍준표의원', 'mbc아침뉴스', '바뀐mbc가이상해졌다', 'mbc의', 'mbc가이상해졌어요홍준표의원', 'mbc뉴스데스크', 'mbc사장', '이명박.국정원.mbc', 'mbc복직']"
태블릿pc,59,22,"['최순실태블릿pc', 'jtbc태블릿pc', '태블릿pc조작', '자유한국당태블릿pc', '손석희태블릿pc', '태블릿pc조작보도', '태블릿pc검증', '#손석희jtbc태블릿pc조작', '국과수태블릿pc감정결과', '태블릿pc포렌식', '국과수태블릿pc', '최순실태블릿pc감정결과', '#손석희태블릿pc특검', '#손석희태블릿pc', '자유한국당태블릿pc조작진상조사tf', '국과수태블릿pc감정', '태블릿pc국과수감정결과', '태블릿pc의혹', '태블릿pc국과수', '태블릿pc감정보고서', '태블릿pc진상조사', '자유한국당태블릿pc조작진상조사태스크포스']"
ytn,58,2,"['ytn뉴스', 'ytn실시간뉴스']"
박원순,57,1,['박원순서울시장']
뉴스룸,57,9,"['뉴스룸다시보기', '뉴스룸풀영상', 'jtbc뉴스룸', '뉴스룸정우성', '뉴스룸전체다시보기', '주말뉴스룸', '토요일뉴스룸다시보기', '2017년12월16일뉴스룸다시보기', '12월16일뉴스룸다시보기']"
김무성,57,1,['김무성개헌']
생방송,57,0,[]
live,56,2,"['jtbclive', 'sidhakurajanatasangalive']"
정규재티비,56,0,[]
jkj,56,0,[]
정규재뉴스,56,0,[]
뉴스브리핑,53,0,[]
윤창중,53,1,['윤창중칼럼세상']
jtbcnews,52,0,[]
북핵,51,2,"['북핵문제', '북핵위협']"
태극기집회,50,4,"['태극기집회자금', '태극기집회경찰', '박대통령조원진서울역태극기집회문화무죄이완구홍준표대한애국당정치자한당더불어민주유튜브박정희검찰법원', '박근혜대통령보수대구태극기집회대한애국당조원진자한당홍준표문재인국민의당민심국회대한민국여론친박']"
칼럼,50,3,"['윤창중칼럼세상', '정규재칼럼', '선우정칼럼']"
홍종학,50,1,['중소벤처기업부홍종학']
이방카,50,0,[]
한미동맹,50,0,[]
korea,50,8,"['koreanews', 'southkorea', 'koreannews', 'northkoreandefector', 'northkoreasouthkorea', 'northkorea', 'northkoreacctv', 'koreapresident']"
도발,50,2,"['75일만에도발', '북한군사도발']"
sbs,49,6,"['sbsnews', 'sbs보도국', 'sbs8news', 'sbs8뉴스', 'sbs뉴스', 'sbs조추첨']"
더불어민주당,49,4,"['더불어민주당숨은진주', '추미애더불어민주당', '좌파더불어민주당', '더불어민주당개헌']"
검찰,49,13,"['검찰총장', '이명박검찰', '검찰유착', '검찰출석', '#검찰특검', '#손석희검찰', '주진우검찰', '특활비검찰수사', '한국당특활비검찰고발', '검찰수사', '검찰조서', '박대통령조원진서울역태극기집회문화무죄이완구홍준표대한애국당정치자한당더불어민주유튜브박정희검찰법원', '대검찰청']"
sbsnews,48,0,[]
윤창중칼럼세상,48,0,[]
윤칼세,48,0,[]
koreanews,48,0,[]
한국뉴스,48,0,[]
흥진호,47,0,[]
적폐,47,8,"['적폐청산', '언론적폐', '적폐세력', '적폐청산tf', '적폐청산중단', '언론적폐청산', '적폐수사', '보수적폐']"
송영무,46,0,[]
최승호,46,4,"['최승호이용마', '최승호mbc', 'mbc최승호사장', '최승호pd']"
주사파,46,1,['주사파정권']
전두환,45,0,[]
적폐청산,45,3,"['적폐청산tf', '적폐청산중단', '언론적폐청산']"
뉴스데일리베스트,45,0,[]
kookminsisa,44,0,[]
안원구,44,0,[]
달빛잔향,44,0,[]
팟케스트,44,0,[]
국민시사,44,0,[]
동상,44,1,['동상이몽']
김영상,44,0,[]
조경태,44,0,[]
김정재,44,0,[]
우표,44,0,[]
이언주,43,0,[]
뉴스타운,43,2,"['뉴스타운tv', '2017뉴스타운어워드']"
황장수tv,43,0,[]
조선일보,43,2,"['조갑제조갑제닷컴조갑제tv월간조선조선일보보수우파애국진보헌법국군대한민국애국보수박정희박근혜이승만', '조선일보보복보도']"
뉴스타운tv,43,0,[]
데일리베스트뉴스,43,0,[]
알파순,43,0,[]
