Game_tags,number,overlap_num,overlap_word
좀비고등학교,19,3,"['좀비고등학교콘텐츠', '밍모좀비고등학교', '좀비고등학교밍모']"
도티마인크래프트,19,1,['도티마인크래프트술래잡기']
마인크래프트도티,19,0,[]
bj꽃빈,19,0,[]
m.c.age,19,0,[]
꽃빈방송,19,0,[]
탈출맵마인크래프트,19,0,[]
마크에이지4,19,0,[]
마인크래프트악어,19,0,[]
인터넷방송,19,0,[]
akzmdpdlwl,19,0,[]
플레이위드토이,19,0,[]
웃김,19,1,['개웃김']
playwithtoy,19,0,[]
라이브방송,19,0,[]
battleground,19,4,"['totallyaccuratebattlegrounds', 'battlegrounds', ""playerunknown'sbattlegrounds"", ""playerunknown'sbattleground""]"
